Date;Code INSEE region;Region;Vitesse du vent a 100m (m/s);Rayonnement solaire (W/m2)
2016-01-08;53;Bretagne;11.6875;37.1525
2016-01-08;75;Nouvelle-Aquitaine;7.856249999999999;35.2825
2016-01-08;76;Occitanie;4.80125;69.88625
2016-01-08;84;Auvergne-Rhone-Alpes;3.47875;36.3725
2016-01-08;93;Provence-Alpes-Cote d'Azur;7.0875;79.25125
2016-01-09;11;Ile-de-France;9.19;35.527499999999996
2016-01-09;24;Centre-Val de Loire;9.5175;46.89
2016-01-09;27;Bourgogne-Franche-Comte;7.0875;37.011250000000004
2016-01-09;28;Normandie;10.70125;32.3475
2016-01-09;32;Hauts-de-France;9.1425;31.83875
2016-01-09;44;Grand Est;7.26375;31.32375
2016-01-09;52;Pays de la Loire;11.370000000000001;37.321250000000006
2016-01-09;53;Bretagne;12.0425;24.94875
2016-01-09;75;Nouvelle-Aquitaine;7.7975;57.58
2016-01-09;76;Occitanie;5.56625;39.74625
2016-01-09;84;Auvergne-Rhone-Alpes;3.76375;28.23375
2016-01-09;93;Provence-Alpes-Cote d'Azur;7.9975000000000005;26.2225
2016-01-10;11;Ile-de-France;9.44625;27.04875
2016-01-10;24;Centre-Val de Loire;9.71875;21.57
2016-01-10;27;Bourgogne-Franche-Comte;7.2675;25.76625
2016-01-10;28;Normandie;10.8425;39.427499999999995
2016-01-10;32;Hauts-de-France;9.3225;33.74
2016-01-10;44;Grand Est;8.2525;27.39875
2016-01-10;52;Pays de la Loire;11.2425;44.9025
2016-01-10;53;Bretagne;12.18;46.67
2016-01-10;75;Nouvelle-Aquitaine;7.95375;24.48375
2016-01-10;76;Occitanie;6.1899999999999995;34.2975
2016-01-10;84;Auvergne-Rhone-Alpes;4.0925;24.53125
2016-01-10;93;Provence-Alpes-Cote d'Azur;8.69625;69.34125
2016-01-11;11;Ile-de-France;9.61125;32.72125
2016-01-11;24;Centre-Val de Loire;9.83375;38.5225
2016-01-11;27;Bourgogne-Franche-Comte;8.41625;47.636250000000004
2016-01-11;28;Normandie;10.75625;35.36375
2016-01-11;32;Hauts-de-France;9.54375;24.515
2016-01-11;44;Grand Est;8.645;27.7825
2016-01-11;52;Pays de la Loire;10.6625;42.86875
2016-01-11;53;Bretagne;11.0525;39.720000000000006
2016-01-11;75;Nouvelle-Aquitaine;7.47875;53.5475
2016-01-11;76;Occitanie;6.955;69.29125
2016-01-11;84;Auvergne-Rhone-Alpes;3.955;48.17
2016-01-11;93;Provence-Alpes-Cote d'Azur;9.3325;52.091249999999995
2016-01-12;11;Ile-de-France;9.325000000000001;45.911249999999995
2016-01-12;24;Centre-Val de Loire;9.06;51.3875
2016-01-12;27;Bourgogne-Franche-Comte;7.45;43.13875
2016-01-12;28;Normandie;10.68375;47.988749999999996
2016-01-12;32;Hauts-de-France;9.7125;41.38875
2016-01-12;44;Grand Est;8.36125;37.785
2016-01-12;52;Pays de la Loire;9.5875;57.235
2016-01-12;53;Bretagne;10.33125;58.448750000000004
2016-01-12;75;Nouvelle-Aquitaine;7.03125;47.1125
2016-01-12;76;Occitanie;7.59875;65.93875
2016-01-12;84;Auvergne-Rhone-Alpes;3.98;51.307500000000005
2016-01-12;93;Provence-Alpes-Cote d'Azur;9.58875;85.56875000000001
2016-01-13;11;Ile-de-France;8.24875;54.381249999999994
2016-01-13;24;Centre-Val de Loire;7.58875;55.3925
2016-01-13;27;Bourgogne-Franche-Comte;6.29375;55.45125
2016-01-13;28;Normandie;9.56;51.2025
2016-01-13;32;Hauts-de-France;8.695;50.63249999999999
2016-01-13;44;Grand Est;7.50625;41.06125
2016-01-13;52;Pays de la Loire;8.36625;41.065
2016-01-13;53;Bretagne;9.022499999999999;43.96125
2016-01-13;75;Nouvelle-Aquitaine;6.255;62.965
2016-01-13;76;Occitanie;8.3775;83.07374999999999
2016-01-13;84;Auvergne-Rhone-Alpes;3.8375;67.26875000000001
2016-01-13;93;Provence-Alpes-Cote d'Azur;8.855;94.79124999999999
2016-01-14;11;Ile-de-France;7.5425;46.80375
2016-01-14;24;Centre-Val de Loire;6.965;39.94
2016-01-14;27;Bourgogne-Franche-Comte;5.89;35.39
2016-01-14;28;Normandie;8.887500000000001;51.6925
2016-01-14;32;Hauts-de-France;7.885;44.83
2016-01-14;44;Grand Est;5.76;38.245
2016-01-14;52;Pays de la Loire;7.4375;67.05499999999999
2016-01-14;53;Bretagne;8.85125;55.05375
2016-01-14;75;Nouvelle-Aquitaine;5.592499999999999;40.947500000000005
